Codigo_Planta,Nombre_Planta_SIMEM,CodigoAreaOperativa,Area_Operativa,CodigoSubAreaOperativa,Subarea_Operativa,TipoGeneracion,TipoDespachoRecurso,CodigoSICAgente,Fecha,FechaPublicacion,Fuente,Nombre_Recurso_UPME,Departamento,Codigo_Municipio,Municipio,Region_Geografica,Longitud,Latitud,Capacidad_Efectiva_MW,Tipo_Generacion_UPME,Combustible_UPME,Tipo_Despacho_UPME,Clasificacion_UPME,Estado_Recurso_UPME,Agente_Representante_UPME,Fecha_Operacion_UPME,Anio_FPO_UPME,Fecha_Actualizacion_UPME,Factor_Conversion,Es_Menor,Id_UPME,En_SIMEM,En_UPME,Fuente_Cobertura
3NLG,,,,,,,,,,,,ROVIRA,TOLIMA,73624.0,ROVIRA,Centro,-75.34759717815423,4.216728685134759,3.1,SOLAR,RAD SOLAR,ND,NORMAL,PRUEBAS,CENTRAL TERMOCARTAGENA SAS ESP,2024-10-10,2024.0,2026-08-03,0.0,SI,540.0,False,True,Solo UPME
3NLI,AGPE BANCO BOGOTA OFICINA PUERTO GAITAN,Are0056,Area Oriental,Are0027,SubArea Meta,Solar,No Despachado Centralmente,GNCC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NLK,AGPE GRANJA SAN PEDRO MALAMI,Are0128,Area Suroccidental,Are0031,SubArea Huila-Tolima,Solar,No Despachado Centralmente,GNCC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NLU,AGPE PET Y MECANIZADOS DEL VALLE SAS,Are0128,Area Suroccidental,Are0032,SubArea Valle,Solar,No Despachado Centralmente,EPSC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NLW,AGPE GRUPO LITORAL SAS,Are0127,Area Caribe,Are0021,SubArea Cordoba_Sucre,Solar,No Despachado Centralmente,SCEC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NLX,AGPE DENTISANA,Are0127,Area Caribe,Are0025,SubArea GCM,Solar,No Despachado Centralmente,NEUC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NLZ,,,,,,,,,,,,SOLAR OLD T,SUCRE,70823.0,SAN JOSÉ DE TOLUVIEJO,Caribe,-75.44451408082239,9.49028579449229,9.9,SOLAR,RAD SOLAR,ND,NORMAL,PRUEBAS,VATIA S.A. E.S.P.,2024-09-08,2024.0,2026-08-03,0.0,SI,532.0,False,True,Solo UPME
3NM2,AGPE HERMANAS CLARISAS,Are0127,Area Caribe,Are0025,SubArea GCM,Solar,No Despachado Centralmente,NEUC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NM4,AGPE DIGICOM TELECOMUNICACIONES EU,Are0127,Area Caribe,Are0021,SubArea Cordoba_Sucre,Solar,No Despachado Centralmente,SCEC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NNZ,AUTOG TERMOCOROCITO 1,Are0012,Area Nordeste,Are0129,SubArea Arauca,Termica,No Despachado Centralmente,GSAG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,AUTOG TERMOCOROCITO 1,ARAUCA,81794.0,TAME,Oriente,-71.79177012757432,6.390704511440092,4.9,TERMICA,GAS,ND,AUTOGENERADOR,OPERACIÓN,GENERSA S.A.S. E.S.P.,2024-10-28,2024.0,2026-08-03,0.0,NO,91.0,True,True,SIMEM + UPME
3NO2,AGPE RODOLFO SCHMULSON,Are0127,Area Caribe,Are0016,SubArea Atlantico,Solar,No Despachado Centralmente,GNCC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NO4,AGPE PARROQUIA NUESTRA SENORA DEL CARMEN,Are0127,Area Caribe,Are0025,SubArea GCM,Solar,No Despachado Centralmente,GNCC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NOE,AGPE PERIAUTOS SAS,Are0056,Area Oriental,Are0017,SubArea Bogota,Solar,No Despachado Centralmente,QIEC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NOG,AGPE JUAN JOSE PATINO MUNOZ,Are0127,Area Caribe,Are0021,SubArea Cordoba_Sucre,Solar,No Despachado Centralmente,SCEC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
