Codigo_Planta,Nombre_Recurso_UPME,Departamento,Codigo_Municipio,Municipio,Region_Geografica,Longitud,Latitud,Capacidad_Efectiva_MW,Tipo_Generacion_UPME,Combustible_UPME,Tipo_Despacho_UPME,Clasificacion_UPME,Estado_Recurso_UPME,Agente_Representante_UPME,Fecha_Operacion_UPME,Anio_FPO_UPME,Fecha_Actualizacion_UPME,Factor_Conversion,Es_Menor,Id_UPME
5SHV,GD PIEDECUESTA I,ANTIOQUIA,05837,TURBO,Antioquia,-76.57404476828336,8.174014978822882,0.99,SOLAR,RAD SOLAR,ND,GEN. DISTRIBUIDA,OPERACIÓN,DEPI ENERGY S.A.S. E.S.P.,2026-07-30,2026,2026-08-03,0.0,SI,83
5TG8,GD ERCO GOLONDRINA II,SUCRE,70708,SAN MARCOS,Caribe,-75.17250267808815,8.589218973474024,0.99,SOLAR,RAD SOLAR,ND,GEN. DISTRIBUIDA,PRUEBAS,ERCO GENERACION S.A.S. ESP,2026-07-29,2026,2026-08-03,0.0,SI,524
5TJN,GD SEMILLAS DE CERETE II,CÓRDOBA,23162,CERETÉ,Caribe,-75.87803578437642,8.895975861842974,0.9,SOLAR,RAD SOLAR,ND,GEN. DISTRIBUIDA,OPERACIÓN,GREENDIPITY SAS BIC ESP,2026-07-28,2026,2026-08-03,0.0,SI,321
5TNL,GD PXV II,SANTANDER,68081,BARRANCABERMEJA,Oriente,-73.78214388864318,7.054058477215098,0.99,SOLAR,RAD SOLAR,ND,GEN. DISTRIBUIDA,PRUEBAS,ES INVEST COLOMBIA S.A.S. ESP,2026-07-12,2026,2026-08-03,0.0,SI,486
5TNM,GD LYRA II,CAUCA,19450,MERCADERES,Pacífico,-77.18061737754445,1.7938202194624484,0.99,SOLAR,RAD SOLAR,ND,GEN. DISTRIBUIDA,PRUEBAS,BIA ENERGY S.A.S. E.S.P,2026-07-03,2026,2026-08-03,0.0,SI,250
5TNV,GD NAOS V,CAUCA,19532,PATÍA,Pacífico,-77.04684557984892,2.158148058676977,0.99,SOLAR,RAD SOLAR,ND,GEN. DISTRIBUIDA,PRUEBAS,BIA ENERGY S.A.S. E.S.P,2026-07-10,2026,2026-08-03,0.0,SI,237
5TO2,GD NAOS IV,CAUCA,19532,PATÍA,Pacífico,-77.04684557984892,2.158148058676977,0.99,SOLAR,RAD SOLAR,ND,GEN. DISTRIBUIDA,PRUEBAS,BIA ENERGY S.A.S. E.S.P,2026-07-03,2026,2026-08-03,0.0,SI,234
5TQN,GD NOVA I,NARIÑO,52240,CHACHAGÜÍ,Pacífico,-77.26968941535999,1.3864980677478622,0.99,SOLAR,RAD SOLAR,ND,GEN. DISTRIBUIDA,PRUEBAS,BIA ENERGY S.A.S. E.S.P,2026-07-09,2026,2026-08-03,0.0,SI,445
5U9S,GD SAN MARTIN I,MAGDALENA,47189,CIÉNAGA,Caribe,-74.02495478771974,10.857323271982969,0.99,SOLAR,RAD SOLAR,ND,GEN. DISTRIBUIDA,PRUEBAS,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,2026-07-29,2026,2026-08-03,0.0,SI,408
5U9W,SUAREZ,TOLIMA,73770,SUÁREZ,Centro,-74.84433286678554,3.969162826058917,8.0,SOLAR,RAD SOLAR,ND,NORMAL,PRUEBAS,ERCO GENERACION S.A.S. ESP,2026-07-17,2026,2026-08-03,0.0,SI,534
ABJ1,LA CASCADA ( ABEJORRAL),ANTIOQUIA,05002,ABEJORRAL,Antioquia,-75.43848561982001,5.803723882899126,3.0,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,2007-09-16,2007,2026-08-03,0.0,SI,1
AFR1,AGUA FRESCA,ANTIOQUIA,05368,JERICÓ,Antioquia,-75.7648876440231,5.769816302545644,7.29,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,ENERGIA DEL RIO PIEDRAS S.A. E.S.P,2008-04-09,2008,2026-08-03,0.0,SI,38
ALBG,ALBAN,VALLE DEL CAUCA,76109,BUENAVENTURA,Pacífico,-77.11964363190235,3.4935464101400964,427.0,HIDRAULICA,AGUA,DC,NORMAL,OPERACIÓN,CELSIA COLOMBIA S.A. E.S.P.,2000-12-14,2000,2026-08-03,4.0997,NO,592
ALTG,ALTO TULUA,VALLE DEL CAUCA,76834,TULUÁ,Pacífico,-76.0325294150837,4.028420260976358,19.9,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,CELSIA COLOMBIA S.A. E.S.P.,2012-05-27,2012,2026-08-03,2.23,SI,629
AMA1,AMAIME,VALLE DEL CAUCA,76520,PALMIRA,Pacífico,-76.22786086762281,3.558395439731676,19.17,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,CELSIA COLOMBIA S.A. E.S.P.,2011-01-05,2011,2026-08-03,1.55,SI,622
